testname,subject,ulcs_code,publicationname,learningnetwork,category,grade,group,denom,bel_num,bel_score,bas_num,bas_score,prof_num,prof_score,adv_num,adv_score,profadv_num,profadv_score
PSSA,ELA,1130,William T. Tilden School,Network 10,All,5,All Students,38,21,55.26,10,26.32,6,15.79,1,2.63,7,18.42
PSSA,ELA,1130,William T. Tilden School,Network 10,All,8,All Students,77,25,32.47,35,45.45,15,19.48,2,2.60,17,22.08
PSSA,ELA,1130,William T. Tilden School,Network 10,All,7,All Students,79,19,24.05,46,58.23,12,15.19,2,2.53,14,17.72
PSSA,ELA,1130,William T. Tilden School,Network 10,All,6,All Students,99,33,33.33,48,48.48,16,16.16,2,2.02,18,18.18
PSSA,ELA,1130,William T. Tilden School,Network 10,All,Grades 3-8,All Students,293,98,33.45,139,47.44,49,16.72,7,2.39,56,19.11
PSSA,ELA,1130,William T. Tilden School,Network 10,ELL,5,ELL,8,s,s,s,s,s,s,s,s,s,s
PSSA,ELA,1130,William T. Tilden School,Network 10,ELL,6,ELL,11,s,s,s,s,s,s,s,s,s,s
PSSA,ELA,1130,William T. Tilden School,Network 10,ELL,8,ELL,14,s,s,s,s,s,s,s,s,s,s
PSSA,ELA,1130,William T. Tilden School,Network 10,ELL,7,ELL,19,s,s,s,s,s,s,s,s,s,s
PSSA,ELA,1130,William T. Tilden School,Network 10,ELL,5,Not ELL,30,s,s,s,s,s,s,s,s,s,s
PSSA,ELA,1130,William T. Tilden School,Network 10,ELL,Grades 3-8,ELL,52,22,42.31,23,44.23,7,13.46,0,0.00,7,13.46
PSSA,ELA,1130,William T. Tilden School,Network 10,ELL,7,Not ELL,60,s,s,s,s,s,s,s,s,s,s
PSSA,ELA,1130,William T. Tilden School,Network 10,ELL,8,Not ELL,63,s,s,s,s,s,s,s,s,s,s
PSSA,ELA,1130,William T. Tilden School,Network 10,ELL,6,Not ELL,88,s,s,s,s,s,s,s,s,s,s
PSSA,ELA,1130,William T. Tilden School,Network 10,ELL,Grades 3-8,Not ELL,241,76,31.54,116,48.13,42,17.43,7,2.90,49,20.33
PSSA,ELA,1130,William T. Tilden School,Network 10,Econ,6,Not Econ. Disadv.,7,s,s,s,s,s,s,s,s,s,s
PSSA,ELA,1130,William T. Tilden School,Network 10,Econ,5,Not Econ. Disadv.,9,s,s,s,s,s,s,s,s,s,s
